year,region,number
2022,Africa,29
2022,Middle East,8
2022,Americas,5
2022,Asia,3
2022,Europe,3
2021,Africa,37
2021,Middle East,7
2021,Americas,4
2021,Asia,4
2021,Europe,4
2020,Africa,33
2020,Middle East,9
2020,Americas,2
2020,Asia,3
2020,Europe,4
2019,Africa,34
2019,Middle East,10
2019,Americas,3
2019,Asia,3
2019,Europe,3
2018,Africa,40
2018,Middle East,9
2018,Americas,2
2018,Asia,3
2018,Europe,4
2017,Africa,46
2017,Middle East,8
2017,Americas,7
2017,Asia,8
2017,Europe,4
2016,Africa,48
2016,Middle East,16
2016,Americas,3
2016,Asia,5
2016,Europe,3
2015,Africa,44
2015,Middle East,15
2015,Americas,1
2015,Asia,2
2015,Europe,4
