year,type,number
2014,un_system,208
2014,reg_org,54
2014,non_un_ios,10
2014,csoc,14
2015,un_system,201
2015,reg_org,58
2015,non_un_ios,11
2015,csoc,28
2016,un_system,201
2016,reg_org,76
2016,non_un_ios,23
2016,csoc,27
2017,un_system,234
2017,reg_org,59
2017,non_un_ios,17
2017,csoc,30
2018,un_system,218
2018,reg_org,71
2018,non_un_ios,11
2018,csoc,42
2019,un_system,228
2019,reg_org,73
2019,non_un_ios,19
2019,csoc,67
2020,un_system,212
2020,reg_org,32
2020,non_un_ios,9
2020,csoc,51
2021,un_system,214
2021,reg_org,44
2021,non_un_ios,10
2021,csoc,86
2022,un_system,272
2022,reg_org,70
2022,non_un_ios,14
2022,csoc,89
2023,un_system,272
2023,reg_org,84
2023,non_un_ios,13
2023,csoc,110
